article_id,topic_id,category_label,percentage
1838,2,education_social,32.28
1838,3,crime_news,41.12
1839,3,crime_news,97.71
1840,3,crime_news,96.91
1841,3,crime_news,86.22
1842,3,crime_news,97.17
1843,3,crime_news,96.27
1844,3,crime_news,98.0
1845,3,crime_news,37.25
1845,4,sport_cultural_events,60.38
1846,0,local_politics,33.34
1846,1,justice,24.17
1846,2,education_social,40.16
1848,4,sport_cultural_events,88.21
1849,1,justice,88.14
1850,0,local_politics,82.03
1851,0,local_politics,86.35
1852,0,local_politics,52.7
1852,1,justice,46.93
1853,0,local_politics,96.64
1854,0,local_politics,25.46
1854,1,justice,71.45
1855,4,sport_cultural_events,81.65
1856,3,crime_news,97.71
1857,0,local_politics,90.52
1858,4,sport_cultural_events,93.67
1859,2,education_social,81.75
1860,0,local_politics,64.3
1860,3,crime_news,22.89
1861,4,sport_cultural_events,94.26
1862,1,justice,26.88
1862,4,sport_cultural_events,66.02
1863,3,crime_news,95.12
1864,3,crime_news,96.98
1866,3,crime_news,95.12
1867,1,justice,26.23
1867,3,crime_news,63.58
1868,3,crime_news,96.78
1869,3,crime_news,95.57
1870,3,crime_news,62.18
1870,4,sport_cultural_events,25.56
1871,3,crime_news,89.97
1872,3,crime_news,95.95
1873,4,sport_cultural_events,96.72
1874,0,local_politics,36.28
1874,2,education_social,48.9
1875,0,local_politics,97.97
1876,3,crime_news,98.08
1877,0,local_politics,70.37
1877,2,education_social,20.6
1878,3,crime_news,94.92
1879,0,local_politics,96.07
1880,0,local_politics,20.87
1880,2,education_social,66.38
1881,0,local_politics,90.7
1882,0,local_politics,90.06
1883,0,local_politics,54.74
1883,3,crime_news,33.27
1884,0,local_politics,94.09
1885,0,local_politics,96.64
1886,0,local_politics,97.54
1887,0,local_politics,96.38
1888,0,local_politics,67.43
1888,2,education_social,22.62
1890,0,local_politics,30.12
1890,4,sport_cultural_events,68.04
1891,0,local_politics,97.4
1892,0,local_politics,22.64
1892,2,education_social,75.46
1893,4,sport_cultural_events,95.52
